Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2024/01/01,02:00,Monday,SHEPPARD STATION,MUI,0,0,N,YU,5491
2024/01/01,02:00,Monday,DUNDAS STATION,MUIS,0,0,N,YU,0
2024/01/01,02:08,Monday,DUNDAS STATION,MUPAA,4,10,N,YU,6051
2024/01/01,02:13,Monday,KENNEDY BD STATION,PUTDN,10,16,E,BD,5284
2024/01/01,02:22,Monday,BLOOR STATION,MUPAA,4,10,N,YU,5986
2024/01/01,02:25,Monday,ST CLAIR STATION,MUPAA,3,9,N,YU,6051
2024/01/01,02:25,Monday,BLOOR STATION,MUIRS,0,0,S,YU,0
2024/01/01,02:27,Monday,WOODBINE STATION,EUDO,7,13,E,BD,5077
2024/01/01,02:28,Monday,FINCH STATION,MUIRS,0,0,S,YU,5561
2024/01/01,02:30,Monday,DAVISVILLE STATION,MUI,13,19,N,YU,6051
2024/01/01,02:36,Monday,FINCH STATION,MUI,24,30,S,YU,5931
2024/01/01,02:45,Monday,COLLEGE STATION,MUIR,12,18,N,YU,5816
2024/01/01,03:01,Monday,LAWRENCE WEST STATION,SUDP,3,9,N,YU,5726
2024/01/01,03:06,Monday,LAWRENCE WEST STATION,MUIS,0,0,S,YU,0
2024/01/01,03:17,Monday,VICTORIA PARK STATION,MUIS,0,0,,BD,0
2024/01/01,03:31,Monday,NORTH YORK CTR STATION,MUIRS,0,0,,YU,0
2024/01/01,03:50,Monday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2024/01/01,05:26,Monday,FINCH STATION,SUAE,0,0,,YU,0
2024/01/01,06:00,Monday,KIPLING STATION,MUIS,0,0,,BD,0
2024/01/01,07:05,Monday,DUPONT STATION,MUNCA,0,0,,YU,0
2024/01/01,07:57,Monday,SHEPPARD WEST STATION,TUNOA,12,24,N,YU,0
2024/01/01,08:41,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0
2024/01/01,08:42,Monday,SHEPPARD WEST STATION,TUNIP,6,12,N,YU,6016
2024/01/01,09:06,Monday,COLLEGE STATION,SUO,0,0,S,YU,0
2024/01/01,09:09,Monday,ST CLAIR STATION,PUOPO,7,13,S,YU,5811
2024/01/01,09:17,Monday,SUMMERHILL STATION,PUOPO,6,12,S,YU,5811
2024/01/01,09:45,Monday,QUEEN STATION,SUO,10,16,S,YUS,5601
2024/01/01,10:08,Monday,EGLINTON STATION,TUNOA,6,12,N,YU,0
2024/01/01,11:18,Monday,QUEEN STATION,SUSA,0,0,N,YU,0
2024/01/01,11:39,Monday,OLD MILL STATION,TUSC,3,7,E,BD,5291
2024/01/01,12:11,Monday,SPADINA YUS STATION,MUIR,0,0,N,YU,5732
2024/01/01,12:54,Monday,ST PATRICK STATION,SUDP,0,0,S,YU,0
2024/01/01,13:24,Monday,VAUGHAN MC STATION,SUDP,0,0,,YU,0
2024/01/01,14:06,Monday,YONGE BD STATION,MUIR,0,0,E,BD,5284
2024/01/01,14:15,Monday,BLOOR STATION,MUIR,12,16,N,YU,5631
2024/01/01,15:15,Monday,LANSDOWNE STATION,MUDD,7,11,E,BD,5164
2024/01/01,15:23,Monday,ST GEORGE YUS STATION,PUMEL,0,0,,YU,0
2024/01/01,15:38,Monday,COLLEGE STATION,MUPAA,4,8,N,YU,6061
2024/01/01,16:05,Monday,SPADINA BD STATION,SUDP,0,0,,BD,0
2024/01/01,16:20,Monday,ROSEDALE STATION,SUDP,7,11,S,YU,6086
2024/01/01,17:17,Monday,BLOOR STATION,SUDP,0,0,S,YU,0
2024/01/01,17:35,Monday,ROSEDALE STATION,MUPAA,0,0,N,YU,5751
2024/01/01,19:01,Monday,DUFFERIN STATION,MUIRS,0,0,W,BD,0
2024/01/01,19:54,Monday,DONLANDS STATION,SUUT,0,0,W,BD,5016
2024/01/01,20:52,Monday,QUEEN STATION,MUPAA,7,13,S,YU,5861
2024/01/01,21:07,Monday,KENNEDY BD STATION,MUNOA,6,12,W,BD,5226
2024/01/01,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2024/01/01,22:10,Monday,DUFFERIN STATION,MUIS,0,0,,BD,0
2024/01/01,22:13,Monday,ST GEORGE YUS STATION,SUDP,0,0,S,YU,6601
2024/01/01,00:01,Monday,GO PROTOCOL - DANFORTH,MUO,0,0,,BD,0
2024/01/01,00:44,Monday,VAUGHAN MC STATION,MUPAA,0,0,S,YU,6021
2024/01/01,00:48,Monday,BLOOR STATION,SUO,0,0,S,YU,5776
2024/01/01,01:10,Monday,VAUGHAN MC STATION,MUO,8,14,S,YU,5921
2024/01/01,01:11,Monday,DUNDAS STATION,SUO,0,0,S,YU,0
2024/01/01,01:38,Monday,ST GEORGE YUS STATION,SUUT,0,0,N,YU,5796
2024/01/01,01:46,Monday,SHEPPARD WEST STATION,SUAE,0,0,,YU,0
2024/01/02,02:06,Tuesday,FINCH STATION,MUIS,0,0,S,YU,0
2024/01/02,06:02,Tuesday,SPADINA BD STATION,TUSC,0,0,E,BD,5176
2024/01/02,06:19,Tuesday,WARDEN STATION,MUIRS,0,0,,BD,0
2024/01/02,06:42,Tuesday,ST CLAIR WEST STATION,MUIS,0,0,,YU,0
2024/01/02,06:53,Tuesday,CHRISTIE STATION,SUO,0,0,,BD,0
2024/01/02,07:40,Tuesday,DAVISVILLE STATION,SUDP,6,9,S,YU,6076
2024/01/02,07:45,Tuesday,ST GEORGE YUS STATION,MUIR,0,0,N,YU,5416
2024/01/02,07:47,Tuesday,BLOOR STATION,SUO,0,0,N,YU,0
2024/01/02,08:38,Tuesday,BLOOR STATION,PUOPO,0,0,N,YU,5811
2024/01/02,08:44,Tuesday,ST CLAIR STATION,PUOPO,6,9,N,YU,5811
2024/01/02,08:51,Tuesday,DUNDAS STATION,MUSAN,3,6,N,YU,5451
2024/01/02,09:12,Tuesday,BROADVIEW STATION,EUME,9,12,W,BD,5004
2024/01/02,09:22,Tuesday,BAY STATION,SUDP,0,0,,BD,0
2024/01/02,09:33,Tuesday,FINCH WEST STATION,MUIR,4,7,N,YU,5851
2024/01/02,10:38,Tuesday,ROSEDALE STATION,SUDP,0,0,,YU,0
2024/01/02,11:13,Tuesday,CHESTER STATION,SUO,0,0,,BD,0
2024/01/02,11:48,Tuesday,QUEEN'S PARK STATION,SUO,0,0,S,YU,5791
2024/01/02,12:20,Tuesday,COLLEGE STATION,SUDP,0,0,,YU,0
2024/01/02,13:12,Tuesday,DOWNSVIEW PARK STATION,EUDO,5,10,N,YU,5806
2024/01/02,13:42,Tuesday,ST GEORGE YUS STATION,SUO,3,8,S,YU,5961
2024/01/02,13:46,Tuesday,EGLINTON STATION,MUI,3,8,N,YU,5576
2024/01/02,13:55,Tuesday,KEELE STATION,MUPAA,0,0,E,BD,5021
2024/01/02,14:03,Tuesday,NORTH YORK CTR STATION,SUDP,8,13,S,YU,5481
2024/01/02,14:07,Tuesday,WELLESLEY STATION,SUDP,0,0,,YU,0
2024/01/02,14:09,Tuesday,KENNEDY BD STATION,SUAP,0,0,,BD,0
2024/01/02,14:36,Tuesday,ST GEORGE YUS STATION,SUDP,21,26,S,YU,6051
2024/01/02,15:09,Tuesday,KIPLING STATION,MUIR,3,6,E,BD,5017
2024/01/02,15:12,Tuesday,MUSEUM STATION,SUDP,8,13,S,YU,5886
2024/01/02,15:43,Tuesday,KEELE STATION,TUNIP,3,6,W,BD,5037
2024/01/02,15:54,Tuesday,DAVISVILLE STATION,MUDD,6,11,N,YU,5441
2024/01/02,16:05,Tuesday,ISLINGTON STATION,TUSC,0,0,E,BD,5307
2024/01/02,16:31,Tuesday,DONLANDS STATION,MUSC,0,0,W,BD,5029
2024/01/02,16:32,Tuesday,PIONEER VILLAGE STATIO,SUO,0,0,S,YU,5551
2024/01/02,16:52,Tuesday,BLOOR STATION,MUIRS,0,0,,YU,0
2024/01/02,16:53,Tuesday,BLOOR STATION,SUDP,0,0,N,YU,0
