,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,"{'Avg_Min_Delay_Time': 24.238532110091743, 'Avg_Delay_Occurrences_Per_Hour': 2.893805309734513}","{'Avg_Min_Delay_Time': 20.250950570342205, 'Avg_Delay_Occurrences_Per_Hour': 2.327433628318584}","{'Avg_Min_Delay_Time': 24.08974358974359, 'Avg_Delay_Occurrences_Per_Hour': 2.736842105263158}","{'Avg_Min_Delay_Time': 20.242537313432837, 'Avg_Delay_Occurrences_Per_Hour': 2.3508771929824563}","{'Avg_Min_Delay_Time': 21.166666666666668, 'Avg_Delay_Occurrences_Per_Hour': 2.9464285714285716}","{'Avg_Min_Delay_Time': 21.73431734317343, 'Avg_Delay_Occurrences_Per_Hour': 2.398230088495575}","{'Avg_Min_Delay_Time': 23.593167701863354, 'Avg_Delay_Occurrences_Per_Hour': 2.849557522123894}"
1,"{'Avg_Min_Delay_Time': 22.53303964757709, 'Avg_Delay_Occurrences_Per_Hour': 2.0088495575221237}","{'Avg_Min_Delay_Time': 21.74175824175824, 'Avg_Delay_Occurrences_Per_Hour': 1.6106194690265487}","{'Avg_Min_Delay_Time': 31.86, 'Avg_Delay_Occurrences_Per_Hour': 2.192982456140351}","{'Avg_Min_Delay_Time': 22.78238341968912, 'Avg_Delay_Occurrences_Per_Hour': 1.6929824561403508}","{'Avg_Min_Delay_Time': 22.24, 'Avg_Delay_Occurrences_Per_Hour': 2.0089285714285716}","{'Avg_Min_Delay_Time': 22.177033492822968, 'Avg_Delay_Occurrences_Per_Hour': 1.8495575221238938}","{'Avg_Min_Delay_Time': 23.853403141361255, 'Avg_Delay_Occurrences_Per_Hour': 1.6902654867256637}"
2,"{'Avg_Min_Delay_Time': 36.36529680365297, 'Avg_Delay_Occurrences_Per_Hour': 1.9380530973451326}","{'Avg_Min_Delay_Time': 33.91616766467066, 'Avg_Delay_Occurrences_Per_Hour': 1.4778761061946903}","{'Avg_Min_Delay_Time': 36.85589519650655, 'Avg_Delay_Occurrences_Per_Hour': 2.008771929824561}","{'Avg_Min_Delay_Time': 39.945205479452056, 'Avg_Delay_Occurrences_Per_Hour': 1.9210526315789473}","{'Avg_Min_Delay_Time': 36.57541899441341, 'Avg_Delay_Occurrences_Per_Hour': 1.5982142857142858}","{'Avg_Min_Delay_Time': 28.385964912280702, 'Avg_Delay_Occurrences_Per_Hour': 1.5132743362831858}","{'Avg_Min_Delay_Time': 32.46153846153846, 'Avg_Delay_Occurrences_Per_Hour': 1.7256637168141593}"
3,"{'Avg_Min_Delay_Time': 30.137724550898202, 'Avg_Delay_Occurrences_Per_Hour': 1.4778761061946903}","{'Avg_Min_Delay_Time': 32.61224489795919, 'Avg_Delay_Occurrences_Per_Hour': 1.3008849557522124}","{'Avg_Min_Delay_Time': 28.89119170984456, 'Avg_Delay_Occurrences_Per_Hour': 1.6929824561403508}","{'Avg_Min_Delay_Time': 33.51851851851852, 'Avg_Delay_Occurrences_Per_Hour': 1.6578947368421053}","{'Avg_Min_Delay_Time': 27.808641975308642, 'Avg_Delay_Occurrences_Per_Hour': 1.4464285714285714}","{'Avg_Min_Delay_Time': 24.763157894736842, 'Avg_Delay_Occurrences_Per_Hour': 1.345132743362832}","{'Avg_Min_Delay_Time': 25.643939393939394, 'Avg_Delay_Occurrences_Per_Hour': 1.168141592920354}"
4,"{'Avg_Min_Delay_Time': 30.245454545454546, 'Avg_Delay_Occurrences_Per_Hour': 1.9469026548672566}","{'Avg_Min_Delay_Time': 27.350649350649352, 'Avg_Delay_Occurrences_Per_Hour': 2.0442477876106193}","{'Avg_Min_Delay_Time': 24.4468085106383, 'Avg_Delay_Occurrences_Per_Hour': 1.6491228070175439}","{'Avg_Min_Delay_Time': 38.45070422535211, 'Avg_Delay_Occurrences_Per_Hour': 1.2456140350877194}","{'Avg_Min_Delay_Time': 24.01834862385321, 'Avg_Delay_Occurrences_Per_Hour': 1.9464285714285714}","{'Avg_Min_Delay_Time': 20.684444444444445, 'Avg_Delay_Occurrences_Per_Hour': 1.991150442477876}","{'Avg_Min_Delay_Time': 31.83173076923077, 'Avg_Delay_Occurrences_Per_Hour': 1.8407079646017699}"
5,"{'Avg_Min_Delay_Time': 25.22779369627507, 'Avg_Delay_Occurrences_Per_Hour': 6.176991150442478}","{'Avg_Min_Delay_Time': 23.844776119402987, 'Avg_Delay_Occurrences_Per_Hour': 5.929203539823009}","{'Avg_Min_Delay_Time': 31.62264150943396, 'Avg_Delay_Occurrences_Per_Hour': 3.254385964912281}","{'Avg_Min_Delay_Time': 26.867816091954023, 'Avg_Delay_Occurrences_Per_Hour': 1.5263157894736843}","{'Avg_Min_Delay_Time': 21.80551724137931, 'Avg_Delay_Occurrences_Per_Hour': 6.473214285714286}","{'Avg_Min_Delay_Time': 20.336, 'Avg_Delay_Occurrences_Per_Hour': 6.6371681415929205}","{'Avg_Min_Delay_Time': 23.152496626180838, 'Avg_Delay_Occurrences_Per_Hour': 6.557522123893805}"
6,"{'Avg_Min_Delay_Time': 19.98098098098098, 'Avg_Delay_Occurrences_Per_Hour': 8.84070796460177}","{'Avg_Min_Delay_Time': 15.385763490241102, 'Avg_Delay_Occurrences_Per_Hour': 7.707964601769912}","{'Avg_Min_Delay_Time': 39.07494646680942, 'Avg_Delay_Occurrences_Per_Hour': 4.0964912280701755}","{'Avg_Min_Delay_Time': 30.235294117647058, 'Avg_Delay_Occurrences_Per_Hour': 2.087719298245614}","{'Avg_Min_Delay_Time': 20.673148148148147, 'Avg_Delay_Occurrences_Per_Hour': 9.642857142857142}","{'Avg_Min_Delay_Time': 19.635673624288426, 'Avg_Delay_Occurrences_Per_Hour': 9.327433628318584}","{'Avg_Min_Delay_Time': 19.74125874125874, 'Avg_Delay_Occurrences_Per_Hour': 8.858407079646017}"
7,"{'Avg_Min_Delay_Time': 23.992462311557787, 'Avg_Delay_Occurrences_Per_Hour': 7.04424778761062}","{'Avg_Min_Delay_Time': 19.856182795698924, 'Avg_Delay_Occurrences_Per_Hour': 6.584070796460177}","{'Avg_Min_Delay_Time': 34.04498977505112, 'Avg_Delay_Occurrences_Per_Hour': 4.2894736842105265}","{'Avg_Min_Delay_Time': 30.353065539112052, 'Avg_Delay_Occurrences_Per_Hour': 4.149122807017544}","{'Avg_Min_Delay_Time': 22.043645699614892, 'Avg_Delay_Occurrences_Per_Hour': 6.955357142857143}","{'Avg_Min_Delay_Time': 21.725609756097562, 'Avg_Delay_Occurrences_Per_Hour': 7.256637168141593}","{'Avg_Min_Delay_Time': 23.5, 'Avg_Delay_Occurrences_Per_Hour': 7.061946902654867}"
8,"{'Avg_Min_Delay_Time': 26.681761006289307, 'Avg_Delay_Occurrences_Per_Hour': 7.035398230088496}","{'Avg_Min_Delay_Time': 25.616045845272208, 'Avg_Delay_Occurrences_Per_Hour': 6.176991150442478}","{'Avg_Min_Delay_Time': 23.116883116883116, 'Avg_Delay_Occurrences_Per_Hour': 4.728070175438597}","{'Avg_Min_Delay_Time': 30.524475524475523, 'Avg_Delay_Occurrences_Per_Hour': 5.017543859649122}","{'Avg_Min_Delay_Time': 24.37278911564626, 'Avg_Delay_Occurrences_Per_Hour': 6.5625}","{'Avg_Min_Delay_Time': 22.029535864978904, 'Avg_Delay_Occurrences_Per_Hour': 6.292035398230088}","{'Avg_Min_Delay_Time': 25.061598951507207, 'Avg_Delay_Occurrences_Per_Hour': 6.752212389380531}"
9,"{'Avg_Min_Delay_Time': 18.016336056009337, 'Avg_Delay_Occurrences_Per_Hour': 7.584070796460177}","{'Avg_Min_Delay_Time': 25.605729877216916, 'Avg_Delay_Occurrences_Per_Hour': 6.486725663716814}","{'Avg_Min_Delay_Time': 21.373248407643313, 'Avg_Delay_Occurrences_Per_Hour': 6.885964912280702}","{'Avg_Min_Delay_Time': 21.93854748603352, 'Avg_Delay_Occurrences_Per_Hour': 4.7105263157894735}","{'Avg_Min_Delay_Time': 19.249721293199553, 'Avg_Delay_Occurrences_Per_Hour': 8.008928571428571}","{'Avg_Min_Delay_Time': 22.534313725490197, 'Avg_Delay_Occurrences_Per_Hour': 7.221238938053097}","{'Avg_Min_Delay_Time': 21.67718446601942, 'Avg_Delay_Occurrences_Per_Hour': 7.292035398230088}"
