,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,"{'Avg_Min_Delay_Time': 9.56140350877193, 'Avg_Delay_Occurrences_Per_Hour': 1.008849557522124}","{'Avg_Min_Delay_Time': 10.141304347826088, 'Avg_Delay_Occurrences_Per_Hour': 0.8141592920353983}","{'Avg_Min_Delay_Time': 8.444444444444445, 'Avg_Delay_Occurrences_Per_Hour': 1.105263157894737}","{'Avg_Min_Delay_Time': 8.715789473684211, 'Avg_Delay_Occurrences_Per_Hour': 0.8333333333333334}","{'Avg_Min_Delay_Time': 7.866666666666666, 'Avg_Delay_Occurrences_Per_Hour': 0.8035714285714286}","{'Avg_Min_Delay_Time': 9.578313253012048, 'Avg_Delay_Occurrences_Per_Hour': 0.7345132743362832}","{'Avg_Min_Delay_Time': 7.875, 'Avg_Delay_Occurrences_Per_Hour': 0.9203539823008849}"
1,"{'Avg_Min_Delay_Time': 8.728260869565217, 'Avg_Delay_Occurrences_Per_Hour': 0.8141592920353983}","{'Avg_Min_Delay_Time': 10.133333333333333, 'Avg_Delay_Occurrences_Per_Hour': 0.6637168141592921}","{'Avg_Min_Delay_Time': 10.134146341463415, 'Avg_Delay_Occurrences_Per_Hour': 0.7192982456140351}","{'Avg_Min_Delay_Time': 9.36, 'Avg_Delay_Occurrences_Per_Hour': 0.6578947368421053}","{'Avg_Min_Delay_Time': 9.197530864197532, 'Avg_Delay_Occurrences_Per_Hour': 0.7232142857142857}","{'Avg_Min_Delay_Time': 7.951612903225806, 'Avg_Delay_Occurrences_Per_Hour': 0.5486725663716814}","{'Avg_Min_Delay_Time': 11.546875, 'Avg_Delay_Occurrences_Per_Hour': 0.5663716814159292}"
2,"{'Avg_Min_Delay_Time': 9.0, 'Avg_Delay_Occurrences_Per_Hour': 0.1415929203539823}","{'Avg_Min_Delay_Time': 8.052631578947368, 'Avg_Delay_Occurrences_Per_Hour': 0.168141592920354}","{'Avg_Min_Delay_Time': 14.875, 'Avg_Delay_Occurrences_Per_Hour': 0.07017543859649122}","{'Avg_Min_Delay_Time': 11.0, 'Avg_Delay_Occurrences_Per_Hour': 0.16666666666666666}","{'Avg_Min_Delay_Time': 8.11111111111111, 'Avg_Delay_Occurrences_Per_Hour': 0.08035714285714286}","{'Avg_Min_Delay_Time': 9.75, 'Avg_Delay_Occurrences_Per_Hour': 0.07079646017699115}","{'Avg_Min_Delay_Time': 10.636363636363637, 'Avg_Delay_Occurrences_Per_Hour': 0.09734513274336283}"
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,"{'Avg_Min_Delay_Time': 5.289156626506024, 'Avg_Delay_Occurrences_Per_Hour': 1.4690265486725664}","{'Avg_Min_Delay_Time': 7.423255813953489, 'Avg_Delay_Occurrences_Per_Hour': 1.9026548672566372}","{'Avg_Min_Delay_Time': 7.262773722627737, 'Avg_Delay_Occurrences_Per_Hour': 1.2017543859649122}","{'Avg_Min_Delay_Time': 9.0, 'Avg_Delay_Occurrences_Per_Hour': 0.017543859649122806}","{'Avg_Min_Delay_Time': 9.598837209302326, 'Avg_Delay_Occurrences_Per_Hour': 1.5357142857142858}","{'Avg_Min_Delay_Time': 8.472222222222221, 'Avg_Delay_Occurrences_Per_Hour': 1.592920353982301}","{'Avg_Min_Delay_Time': 6.7537688442211055, 'Avg_Delay_Occurrences_Per_Hour': 1.761061946902655}"
7,"{'Avg_Min_Delay_Time': 5.182389937106918, 'Avg_Delay_Occurrences_Per_Hour': 1.407079646017699}","{'Avg_Min_Delay_Time': 5.302013422818792, 'Avg_Delay_Occurrences_Per_Hour': 1.3185840707964602}","{'Avg_Min_Delay_Time': 7.154929577464789, 'Avg_Delay_Occurrences_Per_Hour': 0.6228070175438597}","{'Avg_Min_Delay_Time': 13.0, 'Avg_Delay_Occurrences_Per_Hour': 0.3333333333333333}","{'Avg_Min_Delay_Time': 5.059259259259259, 'Avg_Delay_Occurrences_Per_Hour': 1.2053571428571428}","{'Avg_Min_Delay_Time': 7.473684210526316, 'Avg_Delay_Occurrences_Per_Hour': 1.345132743362832}","{'Avg_Min_Delay_Time': 5.655367231638418, 'Avg_Delay_Occurrences_Per_Hour': 1.5663716814159292}"
8,"{'Avg_Min_Delay_Time': 5.843971631205674, 'Avg_Delay_Occurrences_Per_Hour': 1.247787610619469}","{'Avg_Min_Delay_Time': 6.1644736842105265, 'Avg_Delay_Occurrences_Per_Hour': 1.345132743362832}","{'Avg_Min_Delay_Time': 8.819444444444445, 'Avg_Delay_Occurrences_Per_Hour': 0.631578947368421}","{'Avg_Min_Delay_Time': 8.269387755102041, 'Avg_Delay_Occurrences_Per_Hour': 2.1491228070175437}","{'Avg_Min_Delay_Time': 6.875706214689266, 'Avg_Delay_Occurrences_Per_Hour': 1.5803571428571428}","{'Avg_Min_Delay_Time': 5.43859649122807, 'Avg_Delay_Occurrences_Per_Hour': 1.5132743362831858}","{'Avg_Min_Delay_Time': 5.91358024691358, 'Avg_Delay_Occurrences_Per_Hour': 1.4336283185840708}"
9,"{'Avg_Min_Delay_Time': 6.4, 'Avg_Delay_Occurrences_Per_Hour': 1.1061946902654867}","{'Avg_Min_Delay_Time': 8.141509433962264, 'Avg_Delay_Occurrences_Per_Hour': 0.9380530973451328}","{'Avg_Min_Delay_Time': 8.974683544303797, 'Avg_Delay_Occurrences_Per_Hour': 0.6929824561403509}","{'Avg_Min_Delay_Time': 9.387755102040817, 'Avg_Delay_Occurrences_Per_Hour': 0.8596491228070176}","{'Avg_Min_Delay_Time': 6.680672268907563, 'Avg_Delay_Occurrences_Per_Hour': 1.0625}","{'Avg_Min_Delay_Time': 12.89516129032258, 'Avg_Delay_Occurrences_Per_Hour': 1.0973451327433628}","{'Avg_Min_Delay_Time': 8.902654867256636, 'Avg_Delay_Occurrences_Per_Hour': 1.0}"
